dataset,seed,scenario,drop_rate,arm,n,tp,fp,tn,fn,precision,recall,f1,false_positive_rate,false_positives_per_10000_benign_nodes,average_precision,accuracy,predicted_positive
cadets,307,drop_0.5_mask_20260920,0.5,prior_mlp,357173,10,2172,342155,12836,0.00458295142071494,0.0007784524365561264,0.0013308490817141336,0.006307957261556601,63.079572615566015,0.10246702784020081,0.9579811463912445,2182
cadets,307,drop_0.5_mask_20260920,0.5,prior_gin,357173,10,2134,342193,12836,0.0046641791044776115,0.0007784524365561264,0.00133422281521014,0.006197597051639866,61.975970516398654,0.10358438997374908,0.9580875374118425,2144
cadets,307,drop_0.5_mask_20260920,0.5,prior_isolation_forest,357173,4,2384,341943,12842,0.0016750418760469012,0.00031138097462245055,0.0005251411316791387,0.006923651064249972,69.23651064249972,0.1109559033439939,0.9573707979046568,2388
cadets,307,drop_0.5_mask_20260920,0.5,prior_type_rarity,357173,0,85,344242,12846,0.0,0.0,0.0,0.0002468583642874361,2.4685836428743606,0.09904588993763214,0.9637962555960277,85
cadets,307,drop_0.5_mask_20260920,0.5,prior_quality_gate,357173,10,2158,342169,12836,0.004612546125461255,0.0007784524365561264,0.0013320900492873318,0.006267298236850436,62.67298236850436,0.08135851369777945,0.9580203430830438,2168
cadets,307,drop_0.5_mask_20260920,0.5,prior_confidence_selector,357173,10,2183,342144,12836,0.004559963520291838,0.0007784524365561264,0.0013298756566261054,0.0063399036381114465,63.39903638111446,0.08135924277123228,0.9579503489905452,2193
theia,101,clean,0.0,local_knn,344767,54,3459,315989,25265,0.015371477369769428,0.0021327856550416684,0.003745837957824639,0.010828053392101375,108.28053392101374,0.20674430227335222,0.9166857616883286,3513
theia,101,clean,0.0,mlp_knn,344767,850,3335,316113,24469,0.2031063321385902,0.033571626051581815,0.057619305856832975,0.01043988379955423,104.39883799554231,0.20817928088086818,0.9193542305383056,4185
theia,101,clean,0.0,gin_knn,344767,25318,7027,312421,1,0.782748492811872,0.9999605039693511,0.8781215316315205,0.02199732037765145,219.97320377651448,0.8998960750314337,0.9796152183938718,32345
theia,101,clean,0.0,quality_gate,344767,7421,3469,315979,17898,0.6814508723599633,0.29310004344563373,0.40989809163467644,0.010859357391500337,108.59357391500338,0.30479351192721316,0.9380248109592856,10890
theia,101,clean,0.0,confidence_selector,344767,7416,1915,317533,17903,0.794770121101704,0.2929025632923891,0.4280519480519481,0.005994715884901455,59.94715884901455,0.2746724968851397,0.9425177003599532,9331
theia,101,clean,0.0,prior_mlp,344767,11,3393,316055,25308,0.0032314923619271444,0.0004344563371381176,0.000765936705775859,0.010621446996068217,106.21446996068218,0.39367360583443206,0.9167524734095781,3404
theia,101,clean,0.0,prior_gin,344767,11,3390,316058,25308,0.003234342840341076,0.0004344563371381176,0.000766016713091922,0.01061205579624853,106.1205579624853,0.36171730462264257,0.9167611749384367,3401
